filename,algorithm,score
pa_100_12,PRISM,0.473
pa_100_12,RWordle-L,0.564
pa_100_12,SCALE,0.499
pa_100_12,VPSC,0.399
pa_100_13,GTREE,0.463
pa_100_13,PFS,0.302
pa_100_13,PFS',0.439
pa_100_13,PRISM,0.418
pa_100_13,RWordle-L,0.548
pa_100_13,SCALE,0.484
pa_100_13,VPSC,0.371
pa_100_14,GTREE,0.444
pa_100_14,PFS,0.307
pa_100_14,PFS',0.431
pa_100_14,PRISM,0.403
pa_100_14,RWordle-L,0.509
pa_100_14,SCALE,0.489
pa_100_14,VPSC,0.375
pa_100_15,GTREE,0.463
pa_100_15,PFS,0.314
pa_100_15,PFS',0.48
pa_100_15,PRISM,0.452
pa_100_15,RWordle-L,0.541
pa_100_15,SCALE,0.497
pa_100_15,VPSC,0.376
pa_100_16,GTREE,0.474
pa_100_16,PFS,0.31
pa_100_16,PFS',0.449
pa_100_16,PRISM,0.423
pa_100_16,RWordle-L,0.536
pa_100_16,SCALE,0.489
pa_100_16,VPSC,0.407
pa_100_17,GTREE,0.473
pa_100_17,PFS,0.291
pa_100_17,PFS',0.479
pa_100_17,PRISM,0.439
pa_100_17,RWordle-L,0.536
pa_100_17,SCALE,0.498
pa_100_17,VPSC,0.385
pa_100_18,GTREE,0.474
pa_100_18,PFS,0.31
pa_100_18,PFS',0.449
pa_100_18,PRISM,0.423
pa_100_18,RWordle-L,0.536
pa_100_18,SCALE,0.489
pa_100_18,VPSC,0.407
pa_100_19,GTREE,0.473
pa_100_19,PFS,0.291
pa_100_19,PFS',0.479
pa_100_19,PRISM,0.439
pa_100_19,RWordle-L,0.536
pa_100_19,SCALE,0.498
pa_100_19,VPSC,0.385
pa_100_1,GTREE,0.437
pa_100_1,PFS,0.301
pa_100_1,PFS',0.448
pa_100_1,PRISM,0.415
pa_100_1,RWordle-L,0.529
pa_100_1,SCALE,0.498
pa_100_1,VPSC,0.413
pa_100_20,GTREE,0.462
pa_100_20,PFS,0.323
pa_100_20,PFS',0.472
pa_100_20,PRISM,0.455
pa_100_20,RWordle-L,0.522
pa_100_20,SCALE,0.497
pa_100_20,VPSC,0.347
pa_100_21,GTREE,0.446
pa_100_21,PFS,0.316
pa_100_21,PFS',0.448
pa_100_21,PRISM,0.441
pa_100_21,RWordle-L,0.556
pa_100_21,SCALE,0.498
