filename,algorithm,score
pa_10_27,PRISM,0.669
pa_10_27,GTREE,0.68
pa_10_27,RWordle-L,0.739
pa_10_28,initial,0.0
pa_10_28,SCALE,0.734
pa_10_28,PFS,0.76
pa_10_28,PFS',0.776
pa_10_28,FTA,0.692
pa_10_28,VPSC,0.78
pa_10_28,PRISM,0.669
pa_10_28,GTREE,0.68
pa_10_28,RWordle-L,0.739
pa_10_29,initial,0.0
pa_10_29,SCALE,0.651
pa_10_29,PFS,0.652
pa_10_29,PFS',0.714
pa_10_29,FTA,0.723
pa_10_29,VPSC,0.753
pa_10_29,PRISM,0.621
pa_10_29,GTREE,0.603
pa_10_29,RWordle-L,0.726
pa_10_2,initial,0.0
pa_10_2,SCALE,0.693
pa_10_2,PFS,0.693
pa_10_2,PFS',0.703
pa_10_2,FTA,0.692
pa_10_2,VPSC,0.753
pa_10_2,PRISM,0.662
pa_10_2,GTREE,0.649
pa_10_2,RWordle-L,0.676
pa_10_30,initial,0.0
pa_10_30,SCALE,0.651
pa_10_30,PFS,0.652
pa_10_30,PFS',0.714
pa_10_30,FTA,0.723
pa_10_30,VPSC,0.753
pa_10_30,PRISM,0.621
pa_10_30,GTREE,0.603
pa_10_30,RWordle-L,0.726
pa_10_3,initial,0.0
pa_10_3,SCALE,0.551
pa_10_3,PFS,0.612
pa_10_3,PFS',0.692
pa_10_3,FTA,0.74
pa_10_3,VPSC,0.741
pa_10_3,PRISM,0.658
pa_10_3,GTREE,0.615
pa_10_3,RWordle-L,0.732
pa_10_4,initial,0.0
pa_10_4,SCALE,0.551
pa_10_4,PFS,0.612
pa_10_4,PFS',0.692
pa_10_4,FTA,0.74
pa_10_4,VPSC,0.741
pa_10_4,PRISM,0.658
pa_10_4,GTREE,0.615
pa_10_4,RWordle-L,0.732
pa_10_5,initial,0.0
pa_10_5,SCALE,0.651
pa_10_5,PFS,0.652
pa_10_5,PFS',0.714
pa_10_5,FTA,0.723
pa_10_5,VPSC,0.753
pa_10_5,PRISM,0.621
pa_10_5,GTREE,0.603
pa_10_5,RWordle-L,0.726
pa_10_6,initial,0.0
pa_10_6,SCALE,0.551
pa_10_6,PFS,0.612
pa_10_6,PFS',0.692
pa_10_6,FTA,0.74
pa_10_6,VPSC,0.741
pa_10_6,PRISM,0.658
pa_10_6,GTREE,0.615
pa_10_6,RWordle-L,0.732
pa_10_7,initial,0.0
pa_10_7,SCALE,0.551
pa_10_7,PFS,0.612
pa_10_7,PFS',0.692
pa_10_7,FTA,0.74
pa_10_7,VPSC,0.741
pa_10_7,PRISM,0.658
pa_10_7,GTREE,0.615
pa_10_7,RWordle-L,0.732
pa_10_8,initial,0.0
pa_10_8,SCALE,0.651
pa_10_8,PFS,0.652
pa_10_8,PFS',0.714
pa_10_8,FTA,0.723
pa_10_8,VPSC,0.753
pa_10_8,PRISM,0.621
pa_10_8,GTREE,0.603
pa_10_8,RWordle-L,0.726
pa_10_9,initial,0.0
pa_10_9,SCALE,0.651
pa_10_9,PFS,0.652
pa_10_9,PFS',0.714
pa_10_9,FTA,0.723
pa_10_9,VPSC,0.753
pa_10_9,PRISM,0.621
pa_10_9,GTREE,0.603
pa_10_9,RWordle-L,0.726
pa_20_10,initial,0.0
pa_20_10,SCALE,0.602
pa_20_10,PFS,0.556
pa_20_10,PFS',0.66
pa_20_10,FTA,0.642
pa_20_10,VPSC,0.71
pa_20_10,PRISM,0.575
pa_20_10,GTREE,0.577
pa_20_10,RWordle-L,0.728
pa_20_11,initial,0.0
pa_20_11,SCALE,0.562
pa_20_11,PFS,0.497
pa_20_11,PFS',0.619
pa_20_11,FTA,0.501
pa_20_11,VPSC,0.703
pa_20_11,PRISM,0.573
pa_20_11,GTREE,0.561
pa_20_11,RWordle-L,0.721
pa_20_12,initial,0.0
pa_20_12,SCALE,0.517
pa_20_12,PFS,0.567
pa_20_12,PFS',0.604
pa_20_12,FTA,0.669
pa_20_12,VPSC,0.72
pa_20_12,PRISM,0.603
pa_20_12,GTREE,0.553
pa_20_12,RWordle-L,0.716
pa_20_13,initial,0.0
pa_20_13,SCALE,0.602
pa_20_13,PFS,0.556
pa_20_13,PFS',0.66
pa_20_13,FTA,0.642
pa_20_13,VPSC,0.71
pa_20_13,PRISM,0.575
pa_20_13,GTREE,0.577
pa_20_13,RWordle-L,0.728
pa_20_14,initial,0.0
pa_20_14,SCALE,0.602
pa_20_14,PFS,0.556
pa_20_14,PFS',0.66
pa_20_14,FTA,0.642
