filename,algorithm,GQS,oo_nni,sp_ch_a,gs_bb_iar,nm_dm_imse,eb_rsdd,node_overlaps,area_size,avg_node_size
pa_1000_21,vpsc,0.4479,0.0307,7.4039,4.1407,4537.1894,0.9352,0,1000000.0,1000.0
pa_1000_22,gtree,0.6635,0.0201,51.4537,1.0426,10917.4259,0.456,0,1000000.0,1000.0
pa_1000_22,pfs,0.5905,0.0,117.9334,1.8137,20183.0116,0.2363,0,1000000.0,1000.0
pa_1000_22,pfsp,0.6747,0.0,60.2356,1.1603,11020.8928,0.1997,0,1000000.0,1000.0
pa_1000_22,prism,0.6287,0.0114,27.863,1.2575,4005.6171,0.4083,0,1000000.0,1000.0
pa_1000_22,rwordle,0.6042,0.2126,10.7308,1.0947,19160.7502,1.2627,0,1000000.0,1000.0
pa_1000_22,scale,0.7869,0.0,322.49,1.0564,0.0,0.0,0,1000000.0,1000.0
pa_1000_22,vpsc,0.4376,0.041,7.2935,4.2945,2542.3674,1.0766,0,1000000.0,1000.0
pa_1000_23,gtree,0.6234,0.0651,72.957,1.0709,18878.7417,0.8383,0,1000000.0,1000.0
pa_1000_23,pfs,0.5901,0.0,132.1754,1.8436,5747.5299,0.2251,0,1000000.0,1000.0
pa_1000_23,pfsp,0.6661,0.0,70.8367,1.1988,4782.8222,0.2091,0,1000000.0,1000.0
pa_1000_23,prism,0.6182,0.0104,33.6406,1.3506,1677.8311,0.3813,0,1000000.0,1000.0
pa_1000_23,rwordle,0.6081,0.2145,12.9995,1.0799,19860.2098,1.2326,0,1000000.0,1000.0
pa_1000_23,scale,0.785,0.0,314.7184,1.0646,0.0,0.0,0,1000000.0,1000.0
pa_1000_23,vpsc,0.4378,0.0238,8.4472,4.363,1888.5892,1.0274,0,1000000.0,1000.0
pa_1000_24,gtree,0.6279,0.0341,76.382,1.052,14567.2622,0.813,0,1000000.0,1000.0
pa_1000_24,pfs,0.5638,0.0,132.2051,1.7552,20480.9739,0.4625,0,1000000.0,1000.0
pa_1000_24,pfsp,0.6211,0.0,77.3853,1.1807,8672.8171,0.5754,0,1000000.0,1000.0
pa_1000_24,prism,0.5763,0.0136,36.4103,1.2822,4355.5419,0.9354,0,1000000.0,1000.0
pa_1000_24,rwordle,0.5752,0.2125,13.8699,1.0814,19911.6569,2.1358,0,1000000.0,1000.0
pa_1000_24,scale,0.7838,0.0,30622.7906,1.0695,0.0,0.0,0,1000000.0,1000.0
pa_1000_24,vpsc,0.4316,0.0405,9.2521,4.7255,2977.4986,1.0624,0,1000000.0,1000.0
pa_1000_25,gtree,0.634,0.0274,59.9112,1.115,8034.9339,0.587,0,1000000.0,1000.0
pa_1000_25,pfs,0.5922,0.0,128.2139,1.8084,11943.9734,0.2285,0,1000000.0,1000.0
pa_1000_25,pfsp,0.6942,0.0,67.5119,1.0856,8144.5662,0.1731,0,1000000.0,1000.0
pa_1000_25,prism,0.6233,0.0102,30.6174,1.3155,2586.8274,0.3809,0,1000000.0,1000.0
pa_1000_25,rwordle,0.6081,0.2099,11.7104,1.0804,18818.0293,1.2344,0,1000000.0,1000.0
pa_1000_25,scale,0.7866,0.0,317.4105,1.0574,0.0,0.0,0,1000000.0,1000.0
pa_1000_25,vpsc,0.4419,0.0325,7.7484,4.5095,3974.2277,0.9475,0,1000000.0,1000.0
pa_1000_26,gtree,0.6139,0.0282,53.6775,1.0488,9351.6621,1.0305,0,1000000.0,1000.0
pa_1000_26,pfs,0.5551,0.0,127.1732,1.7928,19815.3237,0.5137,0,1000000.0,1000.0
pa_1000_26,pfsp,0.6196,0.0,64.2663,1.1306,9436.2188,0.6932,0,1000000.0,1000.0
pa_1000_26,prism,0.5816,0.0308,29.832,1.1899,4219.355,1.1151,0,1000000.0,1000.0
pa_1000_26,rwordle,0.6059,0.207,11.0799,1.0887,18249.7817,1.2455,0,1000000.0,1000.0
pa_1000_26,scale,0.7854,0.0,31867.9524,1.0621,0.0,0.0,0,1000000.0,1000.0
pa_1000_26,vpsc,0.4272,0.0414,7.6833,4.9024,2748.2589,1.1259,0,1000000.0,1000.0
pa_1000_27,gtree,0.6254,0.0396,63.5525,1.0762,11670.7884,0.7819,0,1000000.0,1000.0
pa_1000_27,pfs,0.5741,0.0,126.7731,1.8347,9321.068,0.3341,0,1000000.0,1000.0
pa_1000_27,pfsp,0.646,0.0,66.3197,1.1507,9399.6878,0.4054,0,1000000.0,1000.0
pa_1000_27,prism,0.6073,0.0118,30.5474,1.2135,3360.3781,0.6777,0,1000000.0,1000.0
pa_1000_27,rwordle,0.6051,0.2048,11.6027,1.0797,18093.0286,1.294,0,1000000.0,1000.0
pa_1000_27,scale,0.7857,0.0,31323.1187,1.0609,0.0,0.0,0,1000000.0,1000.0
pa_1000_27,vpsc,0.4496,0.0385,7.9817,4.1089,2049.8151,0.9162,0,1000000.0,1000.0
pa_1000_28,gtree,0.6409,0.028,62.7034,1.0945,8555.1318,0.5604,0,1000000.0,1000.0
pa_1000_28,pfs,0.5942,0.0,126.2704,1.766,7228.11,0.2366,0,1000000.0,1000.0
pa_1000_28,pfsp,0.6748,0.0,65.8715,1.15,6579.3793,0.2099,0,1000000.0,1000.0
pa_1000_28,prism,0.6279,0.011,29.9437,1.2601,1638.0344,0.4106,0,1000000.0,1000.0
pa_1000_28,rwordle,0.5976,0.2066,11.6786,1.1138,18372.55,1.3047,0,1000000.0,1000.0
pa_1000_28,scale,0.7864,0.0,319.8934,1.0587,0.0,0.0,0,1000000.0,1000.0
pa_1000_28,vpsc,0.4519,0.0261,7.985,4.1584,1534.8496,0.8634,0,1000000.0,1000.0
pa_1000_29,gtree,0.5889,0.0219,67.8726,1.0424,3585.9713,1.5726,0,1000000.0,1000.0
pa_1000_29,pfs,0.5606,0.0,138.6405,1.8022,4368.4467,0.4583,0,1000000.0,1000.0
pa_1000_29,pfsp,0.622,0.0,78.9916,1.1722,3648.2517,0.5817,0,1000000.0,1000.0
pa_1000_29,prism,0.5734,0.0285,38.6164,1.3113,2751.274,0.923,0,1000000.0,1000.0
pa_1000_29,rwordle,0.5693,0.216,14.536,1.1084,20161.8294,2.148,0,1000000.0,1000.0
pa_1000_29,scale,0.7838,0.0,30787.0263,1.0696,0.0,0.0,0,1000000.0,1000.0
pa_1000_29,vpsc,0.4338,0.0199,9.0495,4.51,1430.6141,1.0524,0,1000000.0,1000.0
pa_1000_2,gtree,0.635,0.0281,61.949,1.0632,6678.9214,0.6941,0,1000000.0,1000.0
pa_1000_2,pfs,0.5824,0.0,124.3888,1.7316,12284.6742,0.3328,0,1000000.0,1000.0
pa_1000_2,pfsp,0.654,0.0,70.0978,1.1216,7687.9187,0.3867,0,1000000.0,1000.0
pa_1000_2,prism,0.6004,0.0113,33.7297,1.2735,2891.1795,0.6454,0,1000000.0,1000.0
pa_1000_2,rwordle,0.603,0.2154,12.8556,1.0941,19351.9087,1.2771,0,1000000.0,1000.0
pa_1000_2,scale,0.7848,0.0,31039.235,1.0648,0.0,0.0,0,1000000.0,1000.0
pa_1000_2,vpsc,0.4432,0.031,8.8548,4.4053,1703.0858,0.936,0,1000000.0,1000.0
pa_1000_30,gtree,0.6607,0.0307,68.0648,1.0178,5977.8654,0.5365,0,1000000.0,1000.0
pa_1000_30,pfs,0.6,0.0,133.0433,1.721,3928.9205,0.2237,0,1000000.0,1000.0
pa_1000_30,pfsp,0.6927,0.0,74.9808,1.0922,2299.0157,0.1734,0,1000000.0,1000.0
pa_1000_30,prism,0.6268,0.0119,37.6439,1.287,1414.1157,0.3845,0,1000000.0,1000.0
pa_1000_30,rwordle,0.6069,0.2147,14.7574,1.0894,19842.8281,1.2076,0,1000000.0,1000.0
pa_1000_30,scale,0.7845,0.0,308.8476,1.0673,0.0,0.0,0,1000000.0,1000.0
pa_1000_30,vpsc,0.4342,0.0323,9.1591,4.9078,1876.2617,0.9827,0,1000000.0,1000.0
pa_1000_3,gtree,0.6526,0.0289,65.29,1.0402,6181.6653,0.5626,0,1000000.0,1000.0
pa_1000_3,pfs,0.5979,0.0,130.8674,1.7328,7362.9882,0.2302,0,1000000.0,1000.0
pa_1000_3,pfsp,0.6739,0.0,73.4719,1.1553,7434.7065,0.2092,0,1000000.0,1000.0
pa_1000_3,prism,0.6219,0.0087,35.2354,1.3157,1865.6442,0.3893,0,1000000.0,1000.0
pa_1000_3,rwordle,0.6055,0.2167,13.5822,1.0809,20362.2729,1.2796,0,1000000.0,1000.0
pa_1000_3,scale,0.7852,0.0,311.2959,1.0637,0.0,0.0,0,1000000.0,1000.0
pa_1000_3,vpsc,0.4441,0.0293,9.0453,4.2292,3614.8121,0.9541,0,1000000.0,1000.0
pa_1000_4,gtree,0.6513,0.0287,63.8778,1.0774,10746.7658,0.4975,0,1000000.0,1000.0
pa_1000_4,pfs,0.5927,0.0,129.2755,1.8071,9970.2361,0.2263,0,1000000.0,1000.0
pa_1000_4,pfsp,0.6841,0.0,68.7754,1.13,8811.7004,0.1789,0,1000000.0,1000.0
pa_1000_4,prism,0.6201,0.0105,33.3585,1.3281,3058.1078,0.3904,0,1000000.0,1000.0
pa_1000_4,rwordle,0.6078,0.2111,12.8665,1.0903,19491.0323,1.1925,0,1000000.0,1000.0
pa_1000_4,scale,0.7857,0.0,312.8054,1.0615,0.0,0.0,0,1000000.0,1000.0
pa_1000_4,vpsc,0.4343,0.04,8.6691,5.108,4974.5987,0.9607,0,1000000.0,1000.0
pa_1000_5,gtree,0.6157,0.0299,77.6273,1.0583,4827.364,0.965,0,1000000.0,1000.0
pa_1000_5,pfs,0.5812,0.0,135.7084,1.7548,6097.163,0.328,0,1000000.0,1000.0
pa_1000_5,pfsp,0.6519,0.0,76.482,1.138,3542.4695,0.3778,0,1000000.0,1000.0
pa_1000_5,prism,0.6047,0.0193,38.531,1.2573,1777.1725,0.6279,0,1000000.0,1000.0
pa_1000_5,rwordle,0.5907,0.2156,14.6266,1.093,20145.7703,1.5589,0,1000000.0,1000.0
pa_1000_5,scale,0.7832,0.0,30765.4395,1.0725,0.0,0.0,0,1000000.0,1000.0
pa_1000_5,vpsc,0.426,0.0488,9.1621,4.5062,2183.8916,1.2221,0,1000000.0,1000.0
pa_1000_6,gtree,0.55,0.0363,63.3693,1.1576,9024.3218,2.0737,0,1000000.0,1000.0
pa_1000_6,pfs,0.57,0.0,136.6873,1.7742,9522.823,0.3995,0,1000000.0,1000.0
pa_1000_6,pfsp,0.6476,0.0,71.6462,1.0816,6205.9938,0.5084,0,1000000.0,1000.0
pa_1000_6,prism,0.5825,0.0105,33.8026,1.2842,1898.6116,0.8417,0,1000000.0,1000.0
pa_1000_6,rwordle,0.5714,0.2164,13.1884,1.0939,20065.2257,2.1973,0,1000000.0,1000.0
pa_1000_6,scale,0.784,0.0,31120.2771,1.0686,0.0,0.0,0,1000000.0,1000.0
pa_1000_6,vpsc,0.4317,0.0219,8.4121,4.4095,1836.9039,1.1208,0,1000000.0,1000.0
pa_1000_7,gtree,0.6456,0.0219,57.5377,1.0441,5653.7364,0.6218,0,1000000.0,1000.0
pa_1000_7,pfs,0.5835,0.0,127.5133,1.7186,10496.2761,0.3327,0,1000000.0,1000.0
pa_1000_7,pfsp,0.6636,0.0,70.8411,1.0771,6609.6223,0.3831,0,1000000.0,1000.0
pa_1000_7,prism,0.6094,0.0116,32.6788,1.2125,3430.0356,0.6555,0,1000000.0,1000.0
pa_1000_7,rwordle,0.6039,0.2138,12.7399,1.1023,19529.8772,1.2237,0,1000000.0,1000.0
pa_1000_7,scale,0.7847,0.0,31127.7514,1.0653,0.0,0.0,0,1000000.0,1000.0
pa_1000_7,vpsc,0.4277,0.0282,8.6424,4.5946,2268.876,1.1548,0,1000000.0,1000.0
pa_1000_8,gtree,0.6274,0.0248,70.6312,1.0097,8146.8111,0.9564,0,1000000.0,1000.0
pa_1000_8,pfs,0.5569,0.0,132.6132,1.8378,14589.5838,0.4667,0,1000000.0,1000.0
pa_1000_8,pfsp,0.6209,0.0,72.0082,1.1691,7304.6901,0.5996,0,1000000.0,1000.0
pa_1000_8,prism,0.5718,0.021,36.585,1.3166,3894.1617,0.9313,0,1000000.0,1000.0
pa_1000_8,rwordle,0.5741,0.2166,14.1503,1.0969,19859.954,2.0562,0,1000000.0,1000.0
pa_1000_8,scale,0.7839,0.0,30559.0013,1.069,0.0,0.0,0,1000000.0,1000.0
pa_1000_8,vpsc,0.4182,0.0249,8.5221,4.1752,1134.2679,1.4713,0,1000000.0,1000.0
pa_1000_9,gtree,0.6299,0.0386,73.5794,1.0666,9463.4714,0.7506,0,1000000.0,1000.0
pa_1000_9,pfs,0.576,0.0,131.6037,1.8217,4956.542,0.3278,0,1000000.0,1000.0
pa_1000_9,pfsp,0.641,0.0,72.7457,1.1961,4345.6838,0.3796,0,1000000.0,1000.0
pa_1000_9,prism,0.6031,0.011,36.8064,1.2612,1937.5268,0.6352,0,1000000.0,1000.0
pa_1000_9,rwordle,0.6068,0.2153,14.1489,1.0795,19766.9716,1.2549,0,1000000.0,1000.0
pa_1000_9,scale,0.7837,0.0,30541.8849,1.0701,0.0,0.0,0,1000000.0,1000.0
pa_1000_9,vpsc,0.4312,0.044,9.3104,4.2091,2156.1486,1.1894,0,1000000.0,1000.0
pa_100_10,gtree,0.6885,0.0392,6.7598,1.0225,650.5362,0.3547,0,1000000.0,1000.0
pa_100_10,pfs,0.5742,0.0,17.6321,1.7698,2753.1186,0.3889,0,1000000.0,1000.0
pa_100_10,pfsp,0.6688,0.0,5.5592,1.1504,217.0495,0.3009,0,1000000.0,1000.0
pa_100_10,prism,0.6294,0.0255,4.1827,1.3376,194.7802,0.3967,0,1000000.0,1000.0
pa_100_10,rwordle,0.6628,0.1007,2.0392,1.0865,540.5172,0.6344,0,1000000.0,1000.0
pa_100_10,scale,0.7849,0.0,76.4986,1.0675,0.0,0.0,0,1000000.0,1000.0
pa_100_10,vpsc,0.5494,0.034,2.4881,2.2445,334.9634,0.506,0,1000000.0,1000.0
pa_100_11,gtree,0.6778,0.0273,6.2398,1.0624,373.8835,0.3664,0,1000000.0,1000.0
pa_100_11,pfs,0.5895,0.0,19.7711,1.682,2799.7441,0.3281,0,1000000.0,1000.0
pa_100_11,pfsp,0.675,0.0,5.607,1.1434,270.8776,0.2676,0,1000000.0,1000.0
pa_100_11,prism,0.6563,0.0265,4.4334,1.1525,307.6211,0.4155,0,1000000.0,1000.0
pa_100_11,rwordle,0.6644,0.1011,2.1983,1.0487,607.2437,0.6886,0,1000000.0,1000.0
pa_100_11,scale,0.7861,0.0,33.8272,1.0656,0.0,0.0,0,1000000.0,1000.0
pa_100_11,vpsc,0.5432,0.0322,2.6198,2.2759,473.2381,0.5386,0,1000000.0,1000.0
pa_100_12,gtree,0.6896,0.0292,6.0364,1.0655,285.0046,0.2818,0,1000000.0,1000.0
pa_100_12,pfs,0.6095,0.0,17.0443,1.5118,2282.0633,0.3079,0,1000000.0,1000.0
pa_100_12,pfsp,0.7158,0.0,4.7759,1.0074,121.9751,0.2094,0,1000000.0,1000.0
pa_100_12,prism,0.6828,0.0212,4.1772,1.0934,86.135,0.3123,0,1000000.0,1000.0
pa_100_12,rwordle,0.6752,0.0962,1.9903,1.0418,470.352,0.6119,0,1000000.0,1000.0
pa_100_12,scale,0.789,0.0,19.7335,1.0576,0.0,0.0,0,1000000.0,1000.0
pa_100_12,vpsc,0.5776,0.0272,2.3802,1.9634,165.4259,0.4081,0,1000000.0,1000.0
pa_100_13,gtree,0.6885,0.0392,6.7598,1.0225,650.5362,0.3547,0,1000000.0,1000.0
pa_100_13,pfs,0.5742,0.0,17.6321,1.7698,2753.1186,0.3889,0,1000000.0,1000.0
pa_100_13,pfsp,0.6688,0.0,5.5592,1.1504,217.0495,0.3009,0,1000000.0,1000.0
pa_100_13,prism,0.6294,0.0255,4.1827,1.3376,194.7802,0.3967,0,1000000.0,1000.0
pa_100_13,rwordle,0.6628,0.1007,2.0392,1.0865,540.5172,0.6344,0,1000000.0,1000.0
pa_100_13,scale,0.7849,0.0,76.4986,1.0675,0.0,0.0,0,1000000.0,1000.0
pa_100_13,vpsc,0.5494,0.034,2.4881,2.2445,334.9634,0.506,0,1000000.0,1000.0
pa_100_14,gtree,0.6775,0.0264,7.5289,1.0731,379.7683,0.3412,0,1000000.0,1000.0
pa_100_14,pfs,0.5876,0.0,22.2466,1.7053,2030.2676,0.325,0,1000000.0,1000.0
pa_100_14,pfsp,0.6736,0.0,6.3967,1.1628,135.497,0.248,0,1000000.0,1000.0
pa_100_14,prism,0.6265,0.0329,5.065,1.3479,278.0012,0.3944,0,1000000.0,1000.0
pa_100_14,rwordle,0.6425,0.099,2.2369,1.1937,553.8635,0.6069,0,1000000.0,1000.0
pa_100_14,scale,0.785,0.0,33.9331,1.0709,0.0,0.0,0,1000000.0,1000.0
pa_100_14,vpsc,0.5482,0.0367,2.3917,2.2627,222.2731,0.5176,0,1000000.0,1000.0
pa_100_15,gtree,0.6945,0.0231,6.1848,1.0441,195.431,0.2787,0,1000000.0,1000.0
