filename,algorithm,GQS
pa_200_15,prism,0.833
pa_200_15,rwordle,0.856
pa_200_15,scale,0.905
pa_200_15,vpsc,0.758
pa_200_16,gtree,0.864
pa_200_16,pfs,0.776
pa_200_16,pfsp,0.853
pa_200_16,prism,0.828
pa_200_16,rwordle,0.849
pa_200_16,scale,0.905
pa_200_16,vpsc,0.733
pa_200_17,gtree,0.867
pa_200_17,pfs,0.783
pa_200_17,pfsp,0.864
pa_200_17,prism,0.829
pa_200_17,rwordle,0.851
pa_200_17,scale,0.904
pa_200_17,vpsc,0.729
pa_200_18,gtree,0.861
pa_200_18,pfs,0.775
pa_200_18,pfsp,0.859
pa_200_18,prism,0.835
pa_200_18,rwordle,0.851
pa_200_18,scale,0.905
pa_200_18,vpsc,0.742
pa_200_19,gtree,0.854
pa_200_19,pfs,0.765
pa_200_19,pfsp,0.854
pa_200_19,prism,0.829
pa_200_19,rwordle,0.85
pa_200_19,scale,0.905
pa_200_19,vpsc,0.74
pa_200_1,gtree,0.854
pa_200_1,pfs,0.783
pa_200_1,pfsp,0.851
pa_200_1,prism,0.842
pa_200_1,rwordle,0.854
pa_200_1,scale,0.904
pa_200_1,vpsc,0.727
pa_200_20,gtree,0.858
pa_200_20,pfs,0.78
pa_200_20,pfsp,0.85
pa_200_20,prism,0.818
pa_200_20,rwordle,0.847
pa_200_20,scale,0.903
pa_200_20,vpsc,0.745
pa_200_21,gtree,0.863
pa_200_21,pfs,0.786
pa_200_21,pfsp,0.873
pa_200_21,prism,0.829
pa_200_21,rwordle,0.849
pa_200_21,scale,0.907
pa_200_21,vpsc,0.741
pa_200_22,gtree,0.849
pa_200_22,pfs,0.786
pa_200_22,pfsp,0.861
pa_200_22,prism,0.843
pa_200_22,rwordle,0.848
pa_200_22,scale,0.906
pa_200_22,vpsc,0.75
pa_200_23,gtree,0.868
pa_200_23,pfs,0.77
pa_200_23,pfsp,0.844
pa_200_23,prism,0.829
pa_200_23,rwordle,0.846
pa_200_23,scale,0.905
pa_200_23,vpsc,0.736
pa_200_24,gtree,0.859
pa_200_24,pfs,0.777
pa_200_24,pfsp,0.854
pa_200_24,prism,0.821
pa_200_24,rwordle,0.855
pa_200_24,scale,0.904
pa_200_24,vpsc,0.738
pa_200_25,gtree,0.863
pa_200_25,pfs,0.778
pa_200_25,pfsp,0.85
pa_200_25,prism,0.825
pa_200_25,rwordle,0.863
pa_200_25,scale,0.906
pa_200_25,vpsc,0.751
pa_200_26,gtree,0.852
pa_200_26,pfs,0.769
pa_200_26,pfsp,0.837
pa_200_26,prism,0.821
