filename,algorithm,score
pa_20_19,GTREE,0.878
pa_20_19,RWordle-L,0.902
pa_20_1,initial,0.0
pa_20_1,SCALE,0.913
pa_20_1,PFS,0.885
pa_20_1,PFS',0.896
pa_20_1,FTA,0.867
pa_20_1,VPSC,0.906
pa_20_1,PRISM,0.861
pa_20_1,GTREE,0.89
pa_20_1,RWordle-L,0.903
pa_20_20,initial,0.0
pa_20_20,SCALE,0.916
pa_20_20,PFS,0.837
pa_20_20,PFS',0.889
pa_20_20,FTA,0.819
pa_20_20,VPSC,0.896
pa_20_20,PRISM,0.869
pa_20_20,GTREE,0.878
pa_20_20,RWordle-L,0.902
pa_20_21,initial,0.0
pa_20_21,SCALE,0.908
pa_20_21,PFS,0.857
pa_20_21,PFS',0.856
pa_20_21,FTA,0.893
pa_20_21,VPSC,0.903
pa_20_21,PRISM,0.874
pa_20_21,GTREE,0.857
pa_20_21,RWordle-L,0.904
pa_20_22,initial,0.0
pa_20_22,SCALE,0.908
pa_20_22,PFS,0.857
pa_20_22,PFS',0.856
pa_20_22,FTA,0.893
pa_20_22,VPSC,0.903
pa_20_22,PRISM,0.874
pa_20_22,GTREE,0.857
pa_20_22,RWordle-L,0.904
pa_20_23,initial,0.0
pa_20_23,SCALE,0.923
pa_20_23,PFS,0.875
pa_20_23,PFS',0.893
pa_20_23,FTA,0.896
pa_20_23,VPSC,0.905
pa_20_23,PRISM,0.867
pa_20_23,GTREE,0.881
pa_20_23,RWordle-L,0.906
pa_20_24,initial,0.0
pa_20_24,SCALE,0.916
pa_20_24,PFS,0.837
pa_20_24,PFS',0.889
pa_20_24,FTA,0.819
pa_20_24,VPSC,0.896
pa_20_24,PRISM,0.869
pa_20_24,GTREE,0.878
pa_20_24,RWordle-L,0.902
pa_20_25,initial,0.0
pa_20_25,SCALE,0.908
pa_20_25,PFS,0.857
pa_20_25,PFS',0.856
pa_20_25,FTA,0.893
pa_20_25,VPSC,0.903
pa_20_25,PRISM,0.874
pa_20_25,GTREE,0.857
pa_20_25,RWordle-L,0.904
pa_20_26,initial,0.0
pa_20_26,SCALE,0.908
pa_20_26,PFS,0.857
pa_20_26,PFS',0.856
pa_20_26,FTA,0.893
pa_20_26,VPSC,0.903
pa_20_26,PRISM,0.874
pa_20_26,GTREE,0.857
pa_20_26,RWordle-L,0.904
pa_20_27,initial,0.0
pa_20_27,SCALE,0.923
pa_20_27,PFS,0.858
pa_20_27,PFS',0.869
pa_20_27,FTA,0.912
pa_20_27,VPSC,0.917
pa_20_27,PRISM,0.862
pa_20_27,GTREE,0.876
pa_20_27,RWordle-L,0.914
pa_20_28,initial,0.0
pa_20_28,SCALE,0.923
pa_20_28,PFS,0.858
pa_20_28,PFS',0.869
pa_20_28,FTA,0.912
pa_20_28,VPSC,0.917
pa_20_28,PRISM,0.862
pa_20_28,GTREE,0.876
pa_20_28,RWordle-L,0.914
pa_20_29,initial,0.0
pa_20_29,SCALE,0.921
pa_20_29,PFS,0.857
pa_20_29,PFS',0.879
pa_20_29,FTA,0.888
pa_20_29,VPSC,0.907
pa_20_29,PRISM,0.859
pa_20_29,GTREE,0.886
pa_20_29,RWordle-L,0.895
pa_20_2,initial,0.0
pa_20_2,SCALE,0.913
pa_20_2,PFS,0.87
pa_20_2,PFS',0.893
pa_20_2,FTA,0.905
pa_20_2,VPSC,0.899
pa_20_2,PRISM,0.889
pa_20_2,GTREE,0.863
pa_20_2,RWordle-L,0.903
pa_20_30,initial,0.0
pa_20_30,SCALE,0.921
pa_20_30,PFS,0.857
pa_20_30,PFS',0.879
pa_20_30,FTA,0.888
pa_20_30,VPSC,0.907
pa_20_30,PRISM,0.859
pa_20_30,GTREE,0.886
pa_20_30,RWordle-L,0.895
pa_20_3,initial,0.0
pa_20_3,SCALE,0.913
pa_20_3,PFS,0.87
pa_20_3,PFS',0.893
