type;n;m;iteration;algorithm;oo_nni;sp_ch_a;gs_bb_iar;nm_dm_imse;eb_rsdd
pa;1000;4985;1;vpsc;0.0407007007007007;9.211933422212105;4.945422535211268;1724.5854962098545;0.775421
pa;1000;5979;20;gtree;0.031467467467467466;71.97801608440223;1.0922158850866075;6404.787652805655;0.709239
pa;1000;5979;20;pfs;0;128.58612690732772;1.8073685023557582;7247.137909710303;0.325157
pa;1000;5979;20;pfsp;0;71.1420266470918;1.1372178879078603;6745.093379011252;0.383187
pa;1000;5979;20;prism;0.009424424424424425;35.992387075515175;1.2593308331013249;2390.9576582901573;0.628151
pa;1000;5979;20;rwordle;0.21598498498498497;13.757087659695872;1.0713610115491836;19425.44440899875;1.203994
pa;1000;5979;20;scale;0;30763.371453709235;1.0690456955837269;1.6988851811062317e-19;0
pa;1000;5979;20;vpsc;0.02808108108108108;8.637444046323457;4.456018518518518;1259.6604758207668;1.78732
pa;1000;3990;21;gtree;0.03791691691691692;58.79462144163413;1.1441918556241892;13474.069834839753;0.525776
pa;1000;3990;21;pfs;0;120.4696301732739;1.7863383564912538;16339.025164853707;0.232138
pa;1000;3990;21;pfsp;0;60.29411008021234;1.1448403128735294;9802.879084422968;0.185143
pa;1000;3990;21;prism;0.010342342342342343;28.443702118973974;1.2566118022517065;3955.7475581898543;0.38253
pa;1000;3990;21;rwordle;0.2092872872872873;10.92071557939808;1.080721747388414;18902.762280718773;1.250681
pa;1000;3990;21;scale;0;321.45596360090997;1.0582586944242718;0;0
pa;1000;3990;21;vpsc;0.030674674674674676;7.403890342956353;4.140740740740741;4537.189391767064;0.935158
pa;1000;3990;22;gtree;0.020077077077077076;51.453667125879484;1.0426091104221322;10917.425853392697;0.455974
pa;1000;3990;22;pfs;0;117.93343247880816;1.8137170263788969;20183.01159628857;0.236264
pa;1000;3990;22;pfsp;0;60.23563927088578;1.1602890695573622;11020.892830099709;0.199731
pa;1000;3990;22;prism;0.011439439439439439;27.86295817422943;1.2575458798128822;4005.6170707172305;0.408329
pa;1000;3990;22;rwordle;0.21261061061061062;10.730792534155174;1.0947085889570551;19160.750244814182;1.262681
pa;1000;3990;22;scale;0;322.49000232750046;1.0564141890829006;0;0
pa;1000;3990;22;vpsc;0.041004004004004;7.293525503383773;4.294478527607362;2542.367438144163;1.076586
pa;1000;4985;23;gtree;0.06514414414414414;72.95698511580927;1.0708728681697532;18878.741674211178;0.838309
pa;1000;4985;23;pfs;0;132.17540770329737;1.8435768586522356;5747.529926673481;0.225091
pa;1000;4985;23;pfsp;0;70.83666929711367;1.198819320214669;4782.822174331577;0.2091
pa;1000;4985;23;prism;0.010392392392392393;33.640579042798244;1.3506138922805588;1677.8310552170626;0.381319
pa;1000;4985;23;rwordle;0.2145155155155155;12.99945421392931;1.0799412915851272;19860.20982891149;1.232627
pa;1000;4985;23;scale;0;314.7184222228035;1.0645935406459355;0;0
pa;1000;4985;23;vpsc;0.023778778778778778;8.447184506637731;4.363013698630137;1888.5891591656969;1.027387
pa;1000;5979;24;gtree;0.0341051051051051;76.38196886712645;1.051989169367218;14567.262178719553;0.813044
pa;1000;5979;24;pfs;0;132.20513176514416;1.7552232192311954;20480.973943061676;0.462546
pa;1000;5979;24;pfsp;0;77.38534807491418;1.1807339449541285;8672.817080116654;0.57536
pa;1000;5979;24;prism;0.013635635635635636;36.41029627795946;1.2822441503692938;4355.541934525382;0.935364
pa;1000;5979;24;rwordle;0.2124854854854855;13.869924067849853;1.0814141136144715;19911.656870482544;2.135807
pa;1000;5979;24;scale;0;30622.790645382393;1.069528142781336;1.6873758562376173e-19;0
pa;1000;5979;24;vpsc;0.04054454454454454;9.252076921678555;4.725524475524476;2977.4986103596066;1.062383
pa;1000;3990;25;gtree;0.027353353353353354;59.91123852187342;1.1150387686890233;8034.933886554987;0.586959
pa;1000;3990;25;pfs;0;128.21394085643146;1.8083542188805346;11943.973372950242;0.228473
pa;1000;3990;25;pfsp;0;67.51189550013157;1.0856328929814532;8144.566160376637;0.173054
pa;1000;3990;25;prism;0.010154154154154153;30.617379547068076;1.3154921201308356;2586.8273584238705;0.380923
pa;1000;3990;25;rwordle;0.2099169169169169;11.710369256693104;1.0803697006228652;18818.029326107935;1.234429
pa;1000;3990;25;scale;0;317.410486230437;1.0573575949367089;0;0
pa;1000;3990;25;vpsc;0.03249149149149149;7.748417661875472;4.5094936708860756;3974.227688660769;0.947502
pa;1000;3990;26;gtree;0.02823023023023023;53.677497852887086;1.048834110592938;9351.662104661737;1.030494
pa;1000;3990;26;pfs;0;127.17318308951658;1.7927693608166981;19815.3236581239;0.513683
pa;1000;3990;26;pfsp;0;64.26626012030246;1.1306479603571205;9436.218754243113;0.693219
pa;1000;3990;26;prism;0.030836836836836835;29.83195746893513;1.1898870360408822;4219.354964559385;1.115058
pa;1000;3990;26;rwordle;0.20698098098098097;11.079919881451366;1.088686567837722;18249.781715343055;1.245544
pa;1000;3990;26;scale;0;31867.95237886405;1.0620877161704403;1.770352858111875e-19;0
pa;1000;3990;26;vpsc;0.04136036036036036;7.6832679012387;4.902426160337553;2748.258941314805;1.1259
pa;1000;3990;27;gtree;0.03956056056056056;63.55250124288394;1.0761667624337612;11670.788368301068;0.78187
pa;1000;3990;27;pfs;0;126.77306659853276;1.8346805059415323;9321.068003049395;0.334125
pa;1000;3990;27;pfsp;0;66.3197219408443;1.1506761825591534;9399.687789151985;0.405443
pa;1000;3990;27;prism;0.011774774774774776;30.547386380409772;1.2135215538201893;3360.378064067798;0.677719
pa;1000;3990;27;rwordle;0.2047927927927928;11.602660745815687;1.079748895605673;18093.028562206346;1.294041
pa;1000;3990;27;scale;0;31323.118662776884;1.0609479706469673;1.7493994467536216e-19;0
pa;1000;3990;27;vpsc;0.03846046046046046;7.981708767635264;4.108934543717153;2049.8151133932283;0.916189
pa;1000;3990;28;gtree;0.028003003003003003;62.70336593020233;1.0945327444441106;8555.131842273575;0.560376
pa;1000;3990;28;pfs;0;126.27040625542541;1.766025641025641;7228.109966100192;0.236601
pa;1000;3990;28;pfsp;0;65.87146323734498;1.149979227253843;6579.379330400677;0.20992
pa;1000;3990;28;prism;0.011007007007007007;29.94368662862405;1.2600753207382058;1638.0343742373072;0.410611
pa;1000;3990;28;rwordle;0.2065855855855856;11.678569713571582;1.1138288759874369;18372.549976939063;1.304699
pa;1000;3990;28;scale;0;319.89342806394313;1.058673469387755;0;0
pa;1000;3990;28;vpsc;0.026072072072072072;7.9850268231076;4.158400809716599;1534.8495666988808;0.863371
pa;1000;5979;29;gtree;0.021864864864864865;67.87259218213599;1.0424180817986128;3585.9712615222334;1.572588
pa;1000;5979;29;pfs;0;138.64054666661102;1.8022102413294123;4368.446680261443;0.458309
pa;1000;5979;29;pfsp;0;78.99164814255488;1.172199327484641;3648.251693331516;0.58169
pa;1000;5979;29;prism;0.02852952952952953;38.61644812930114;1.3112767940354146;2751.273970220876;0.923029
pa;1000;5979;29;rwordle;0.21596996996996998;14.535984125885124;1.1084081372496946;20161.829351551223;2.148042
pa;1000;5979;29;scale;0;30787.026268887;1.06955853053235;1.690215666542189e-19;0
pa;1000;5979;29;vpsc;0.019863863863863865;9.049538926564741;4.509950248756219;1430.614095908202;1.052444
pa;1000;4985;2;gtree;0.02812212212212212;61.94898627408402;1.0631509608168157;6678.921356730853;0.694068
pa;1000;4985;2;pfs;0;124.38875530620116;1.7316392823996165;12284.674211927397;0.332825
pa;1000;4985;2;pfsp;0;70.09777483304734;1.121601964569172;7687.918734288451;0.386663
pa;1000;4985;2;prism;0.011307307307307307;33.72970388055039;1.2735444766271793;2891.179471162954;0.645393
pa;1000;4985;2;rwordle;0.21543143143143142;12.855590331910863;1.0940920353130787;19351.908723028155;1.27706
pa;1000;4985;2;scale;0;31039.234989492325;1.0648381128144635;1.7060766562645407e-19;0
pa;1000;4985;2;vpsc;0.030953953953953953;8.854846423957959;4.405265875064533;1703.0857861721997;0.936009
pa;1000;5979;30;gtree;0.030742742742742742;68.06484338200892;1.017835483833705;5977.865418944655;0.536526
pa;1000;5979;30;pfs;0;133.04332712967613;1.7210373406603305;3928.9205477258647;0.223665
pa;1000;5979;30;pfsp;0;74.98077378968794;1.0921555892328787;2299.0156912588627;0.173399
pa;1000;5979;30;prism;0.011938938938938938;37.64387447604652;1.2870064388648519;1414.115684474045;0.384481
pa;1000;5979;30;rwordle;0.2146926926926927;14.757385066696092;1.0893849670147004;19842.828101200335;1.207636
pa;1000;5979;30;scale;0;308.8475968213642;1.067251950947603;0;0
pa;1000;5979;30;vpsc;0.032325325325325324;9.159132386215685;4.907773386034256;1876.2616758804481;0.98266
pa;1000;4985;3;gtree;0.028895895895895897;65.2900222481601;1.0401940401940402;6181.665274120912;0.562576
pa;1000;4985;3;pfs;0;130.86737024118293;1.7327593292783166;7362.988228499111;0.230153
pa;1000;4985;3;pfsp;0;73.47191342296917;1.1553303183873826;7434.7064648161095;0.209205
pa;1000;4985;3;prism;0.008704704704704705;35.23538290358416;1.315737961633825;1865.644225534836;0.389284
